Genome Name,RR:HPKratio,HPK,RR,unit_norm_hkct,unit_norm_genect,Genome Size   * assembled,Gene Count   * assembled,hpkper100gene,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Phylum2
Roseovarius sp. 217,1.142857143,42,48,0.014246974,1.636027532,4762632,4823,0.870827286,,638341184,Bacteria,Permanent Draft,Roseovarius sp. 217,J. Craig Venter Institute (JCVI),638341184,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. 217,Environmental,Aquatic,Neritic zone,Marine,,"Aquatic, Fresh water, Marine",not
Roseovarius nubinhibens ISM,0.966666667,30,29,0.01017641,1.222865282,3668667,3605,0.832177531,,638341183,Bacteria,Permanent Draft,Roseovarius nubinhibens ISM,J. Craig Venter Institute (JCVI),638341183,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius nubinhibens,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Surface water",not
Roseobacter sp. SK209-2-6,1.081081081,37,40,0.012550906,1.563775021,4555826,4610,0.802603037,,640612220,Bacteria,Permanent Draft,Roseobacter sp. SK209-2-6,J. Craig Venter Institute (JCVI),640612220,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. SK209-2-6,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Roseobacter sp. MED193,1.119047619,42,47,0.014246974,1.562078952,4652716,4605,0.912052117,,638341182,Bacteria,Permanent Draft,Roseobacter sp. MED193,J. Craig Venter Institute (JCVI),638341182,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. MED193,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Roseobacter sp. GAI101,1.145833333,48,55,0.016282256,1.444371809,4527951,4258,1.127289807,,647533205,Bacteria,Permanent Draft,Sulfitobacter sp. GAI101,J. Craig Venter Institute (JCVI),647533205,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. GAI101,Environmental,Aquatic,Neritic zone,Marine,,"Aquatic, Marine",not
Roseobacter sp. CCS2,0.92,25,23,0.008480342,1.256108222,3497325,3703,0.675128274,,640612221,Bacteria,Permanent Draft,Loktanella sp. CCS2,J. Craig Venter Institute (JCVI),640612221,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. CCS2,,,,,,Marine,not
Roseobacter sp. AzwK-3b,1.222222222,36,44,0.012211692,1.423679775,4178704,4197,0.85775554,,640963029,Bacteria,Permanent Draft,Roseobacter sp. AzwK-3b,J. Craig Venter Institute (JCVI),640963029,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. AzwK-3b,Environmental,Aquatic,Intertidal zone,Marine,,Marine,not
Roseobacter litoralis Och 149,1.205882353,34,41,0.011533265,1.552580969,4745450,4577,0.742844658,,2510065042,Bacteria,Finished,Roseobacter litoralis Och 149,J. Craig Venter Institute (JCVI),2510065042,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter litoralis,Host-associated,Plants,Unclassified,Unclassified,,Marine,not
Robiginitomaculum antarcticum DSM 21748,0.9,30,27,0.01017641,0.911467132,2769471,2687,1.116486788,,2522125083,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2522125083,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Robiginitomaculum,Robiginitomaculum antarcticum,Environmental,Aquatic,Pelagic,Marine,,"Aquatic, Marine, Sea water",not
Robiginitalea biformata HTCC2501,1.172413793,29,34,0.009837196,1.104140497,3530383,3255,0.89093702,,646311950,Bacteria,Finished,Robiginitalea biformata HTCC2501,J. Craig Venter Institute (JCVI),646311950,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Richelia intracellularis RC01,1.409090909,22,31,0.007462701,1.371440869,2997884,4043,0.544150383,12,2622736407,Bacteria,Permanent Draft,The genome sequence of the heterocyst-forming cyanobacterial symbiont of the diatom Rhizosolenia,"University of California, Santa Cruz",2622736407,Cyanobacteria,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Richelia,Richelia intracellularis,,,,,,,not
Rhodobacteraceae bacterium KLH11,1.071428571,28,30,0.009497983,1.471508902,4487498,4338,0.645458737,,647533201,Bacteria,Permanent Draft,Rhodobacteraceae sp. KLH11,J. Craig Venter Institute (JCVI),647533201,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unclassified,Rhodobacteraceae bacterium KLH11,Host-associated,Porifera,Unclassified,Unclassified,,"Host, Marine",not
Rheinheimera baltica DSM 14885,1.384615385,52,72,0.017639111,1.420287638,4351767,4187,1.241939336,2,2523533585,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523533585,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera baltica,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Sea water",not
Psychromonas sp. CNPT3,1.166666667,24,28,0.008141128,0.968115815,3053233,2854,0.840925018,4,2501651206,Bacteria,Finished,Psychromonas sp. CNPT3,J. Craig Venter Institute (JCVI),2501651206,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas sp. CNPT3,Environmental,Aquatic,Oceanic,Marine,,"Deep sea, Marine",not
Psychromonas ossibalaenae ATCC BAA-1528,1.327586207,58,77,0.019674393,1.553937824,5206115,4581,1.266099105,2,2519899699,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2519899699,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ossibalaenae,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Marine, Sediment",not
Psychromonas arctica DSM 14288,1.302325581,43,56,0.014586188,1.431142475,4745897,4219,1.019198862,6,2528311092,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2528311092,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas arctica,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Psychromonas aquimarina ATCC BAA-1526,1.378787879,66,91,0.022388102,1.650274507,5536496,4865,1.356628983,6,2524614866,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614866,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas aquimarina,Environmental,Aquatic,Oceanic,Marine,,Sediment,not
Psychrilyobacter atlanticus DSM 19335,0.793103448,29,23,0.009837196,1.158075471,3539325,3414,0.849443468,15,2524614854,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),2524614854,Fusobacteria,Other,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,Psychrilyobacter atlanticus,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Marine sediment, Sediment",not
Pseudovibrio sp. JE062,1.351351351,37,50,0.012550906,1.805634368,5726521,5323,0.69509675,,647533200,Bacteria,Permanent Draft,Pseudovibrio sp. JE062,"J. Craig Venter Institute (JCVI), University of Maryland School of Medicine",647533200,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudovibrio,Pseudovibrio sp. JE062,Host-associated,Porifera,Unclassified,Unclassified,,"Aquatic, Host, Marine",not
Pseudorhodobacter ferrugineus DSM 5888,1.041666667,24,25,0.008141128,1.180463573,3430274,3480,0.689655172,,2524023154,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524023154,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,Pseudorhodobacter ferrugineus,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Pseudooceanicola nanhaiensis DSM 18065,1.25,36,45,0.012211692,1.542743773,4659730,4548,0.791556728,,2558309102,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2558309102,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola nanhaiensis,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",not
Pseudooceanicola batsensis HTCC2597,1.1,30,33,0.01017641,1.44538945,4437668,4261,0.70406008,,638341139,Bacteria,Permanent Draft,Oceanicola batsensis HTCC2597,J. Craig Venter Institute (JCVI),638341139,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola batsensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Pseudodonghicola xiamenensis DSM 18339,0.972222222,36,35,0.012211692,1.554277038,4734081,4582,0.785683108,,2524023213,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524023213,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudodonghicola,Pseudodonghicola xiamenensis,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine",not
Pseudoalteromonas undina NCIMB 2128,1.474576271,59,87,0.020013607,1.248645521,3998432,3681,1.602825319,2,2541047161,Bacteria,Permanent Draft,Pseudoalteromonas project - Shandong University,Shandong University,2541047161,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas undina,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Pseudoalteromonas tunicata D2,1.438356164,73,105,0.024762598,1.57293379,4982425,4637,1.574293724,3,638341157,Bacteria,Permanent Draft,Pseudoalteromonas tunicata D2,J. Craig Venter Institute (JCVI),638341157,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas tunicata,Host-associated,Animal,Unclassified,Unclassified,,"Host, Marine",not
Pseudoalteromonas spiralis DSM 16099,1.596153846,52,83,0.017639111,1.376529075,4158027,4058,1.281419418,2,2675903427,Bacteria,Permanent Draft,Pseudoalteromonas spiralis strain:DSM 16099 Genome sequencing,"Chinese Academy of Sciences, Institute of Oceanology",2675903427,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas spiralis,,,,,,,not
Pseudoalteromonas sp. TW-7,1.392857143,56,78,0.018995966,1.3151314,4104952,3877,1.444415785,23,639857033,Bacteria,Permanent Draft,Pseudoalteromonas sp. TW-7,J. Craig Venter Institute (JCVI),639857033,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,unclassified,unclassified,Alteromonadales bacterium TW-7,Host-associated,Unclassified,Unclassified,Unclassified,,Marine,Cyanobacteria
Pseudoalteromonas sp. SM9913,1.462962963,54,79,0.018317538,1.288672734,4037671,3799,1.421426691,,649633085,Bacteria,Finished,Pseudoalteromonas project - Shandong University,Nankai University,649633085,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. SM9913,Environmental,Aquatic,Oceanic,Marine,,Marine,Cyanobacteria
Pseudoalteromonas sp. PAMC 22718,1.438596491,57,82,0.019335179,1.330396015,4184624,3922,1.453340133,,2548877051,Bacteria,Permanent Draft,Pseudoalteromonas sp. PAMC 22718,Korea Polar Research Institute (KOPRI),2548877051,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. PAMC 22718,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",Cyanobacteria
Pseudoalteromonas sp. NJ631,1.204301075,93,112,0.031546871,1.598714029,5349905,4713,1.973265436,,2551306111,Bacteria,Permanent Draft,Pseudoalteromonas sp. NJ631,Ningbo University,2551306111,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. NJ631,Environmental,Aquatic,Unclassified,Marine,,,Cyanobacteria
Pseudoalteromonas sp. DSM 26666,1.473684211,57,84,0.019335179,1.245592598,4024100,3672,1.552287582,2,2619619023,Bacteria,Permanent Draft,Creating a successional model for carbon remediation in the Gulf of Mexico,DOE Joint Genome Institute (JGI),2619619023,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. DSM 26666,,,,,,,Cyanobacteria
Pseudoalteromonas rubra S2471,1.344444444,90,121,0.03052923,1.670288113,5733623,4924,1.827782291,,2671180867,Bacteria,Permanent Draft,Genome sequencce of marine bacteria isolated during Galathea 3 global expedition,Technical University of Denmark,2671180867,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas rubra,,,,,,,Cyanobacteria
Pseudoalteromonas rubra ATCC 29570,1.323232323,99,131,0.033582153,1.722187805,5954504,5077,1.949970455,,2541047006,Bacteria,Permanent Draft,Pseudoalteromonas project - Shandong University,Shandong University,2541047006,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas rubra,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",Cyanobacteria
Pseudoalteromonas piscicida ATCC 15057,1.252747253,91,114,0.030868444,1.62008449,5279016,4776,1.905360134,13,2519899641,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2519899641,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas piscicida,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",Cyanobacteria
Pseudoalteromonas haloplanktis TAC125,1.452380952,42,61,0.014246974,1.232702478,3850272,3634,1.155751238,14,637000217,Bacteria,Finished,Pseudoalteromonas haloplanktis TAC125,"CEA Genoscope, Institut Pasteur",637000217,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas haloplanktis,Environmental,Aquatic,Neritic zone,Marine,,"Aquatic, Marine",Cyanobacteria
Pseudoalteromonas denitrificans DSM 6059,1.368932039,103,141,0.034939008,1.852785068,6094166,5462,1.885756133,16,2599185267,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2599185267,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas denitrificans,,,,,,Aquatic,Cyanobacteria
Pseudoalteromonas atlantica TB41,1.5,54,81,0.018317538,1.474561825,4632606,4347,1.242236025,1,2579778892,Bacteria,Permanent Draft,Pseudoalteromonas project - Florence University,University of Florence,2579778892,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. TB41,Host-associated,Animal,Unclassified,Unclassified,,,Cyanobacteria
Pseudoalteromonas arctica A 37-1-2,1.409836066,61,86,0.020692034,1.43623068,4624159,4234,1.440717997,9,2541047156,Bacteria,Finished,Pseudoalteromonas project - Shandong University,Shandong University,2541047156,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arctica,Environmental,Unclassified,Unclassified,Unclassified,,Marine,Cyanobacteria
Prolixibacter bellariivorans ATCC BAA-1284,0.873239437,71,62,0.024084171,1.453530578,5151245,4285,1.656942824,2,2556921657,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2556921657,Bacteroidetes,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter,bellariivorans,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",Cyanobacteria
Prochlorococcus sp. SS52,0.666666667,9,6,0.003052923,0.663501939,1754053,1956,0.460122699,,2606217314,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217314,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. SS52,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT9107,0.625,8,5,0.002713709,0.669268572,1699937,1973,0.405473898,2,2606217692,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217692,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus sp. MIT0801,0.666666667,9,6,0.003052923,0.752375921,1929203,2218,0.405770965,,2606217560,Bacteria,Finished,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217560,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0801,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT0703,0.909090909,11,10,0.00373135,0.913841628,2575057,2694,0.408314774,,2606217682,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217682,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0703,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT0702,0.909090909,11,10,0.00373135,0.917912192,2583057,2706,0.406504065,,2606217681,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217681,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0702,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT0701,0.909090909,11,10,0.00373135,0.917233765,2592571,2704,0.406804734,,2606217684,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217684,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0701,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT0604,0.625,8,5,0.002713709,0.708617357,1780061,2089,0.382958353,,2606217688,Bacteria,Finished,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217688,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0604,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus sp. MIT0603,0.666666667,9,6,0.003052923,0.662823512,1752482,1954,0.460593654,,2606217686,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217686,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0603,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT0602,0.666666667,9,6,0.003052923,0.663501939,1750918,1956,0.460122699,,2606217317,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217317,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0602,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus sp. MIT0601,0.666666667,9,6,0.003052923,0.646202042,1707342,1905,0.472440945,,2606217319,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217319,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0601,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus marinus SS51,0.666666667,9,6,0.003052923,0.658413734,1746977,1941,0.463678516,,2606217315,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217315,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus marinus SS35,0.666666667,9,6,0.003052923,0.658752948,1751015,1942,0.463439753,,2606217311,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217311,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus marinus SS2,0.666666667,9,6,0.003052923,0.663162726,1752772,1955,0.460358056,,2606217313,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217313,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus marinus SB,0.666666667,9,6,0.003052923,0.652647102,1669823,1924,0.467775468,,2606217677,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217677,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus marinus pastoris CCMP 1986,0.666666667,9,6,0.003052923,0.701833084,1657990,2069,0.43499275,,637000214,Bacteria,Finished,Prochlorococcus marinus subsp. pastoris CCMP1986,DOE Joint Genome Institute (JGI),637000214,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Marginal Sea,Marine,High light adapted (HL),"Aquatic, Marine",Cyanobacteria
Prochlorococcus marinus PAC1,0.625,8,5,0.002713709,0.745252434,1841163,2197,0.364132909,1,2606217419,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217419,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,Cyanobacteria
Prochlorococcus marinus NATL2A,0.666666667,9,6,0.003052923,0.673339136,1842899,1985,0.453400504,,637000212,Bacteria,Finished,Prochlorococcus sp. NATL2A,DOE Joint Genome Institute (JGI),637000212,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,Cyanobacteria
Prochlorococcus marinus NATL1A,0.666666667,9,6,0.003052923,0.763569972,1864731,2251,0.399822301,,640069325,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069325,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,Cyanobacteria
Prochlorococcus marinus MIT9515,0.625,8,5,0.002713709,0.667572503,1704176,1968,0.406504065,,640069324,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069324,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),"Marine, Surface water",Cyanobacteria
Prochlorococcus marinus MIT9401,0.555555556,9,5,0.003052923,0.661127444,1666808,1949,0.461775269,,2606217316,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217316,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus marinus MIT9322,0.555555556,9,5,0.003052923,0.656717666,1657550,1936,0.464876033,,2606217679,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217679,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus marinus MIT9321,0.555555556,9,5,0.003052923,0.65705688,1658664,1937,0.464636035,,2606217683,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217683,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
